tokens;labels
Tennessee;5
(;0
CDP;0
);0
# New sentence = ''Hypnotize '' opened at 1 on the ''Billboard '' 200 with 320,000 copies the first week .;
''Hypnotize;0
'';0
opened;0
at;0
1;0
on;0
the;0
''Billboard;0
'';0
200;0
with;0
320;0
copies;0
the;0
first;0
week;0
.;0
# New sentence = List of national libraries;
List;0
of;0
national;0
libraries;0
# New sentence = William Morrow and Company;
William;3
Morrow;4
and;4
Company;4
# New sentence = Edwin S. Johnson ( D );
Edwin;1
S.;2
Johnson;2
(;0
D;0
);0
# New sentence = Bahawalpur Zoo , Bahawalpur , Punjab;
Bahawalpur;3
Zoo;4
,;0
Bahawalpur;5
,;0
Punjab;5
# New sentence = 1944 Presentation Brothers College;
1944;0
Presentation;3
Brothers;4
College;4
# New sentence = In 1976 he joined his brother at Leicester Lions where he spent two seasons .;
In;0
1976;0
he;0
joined;0
his;0
brother;0
at;0
Leicester;3
Lions;4
where;0
he;0
spent;0
two;0
seasons;0
.;0
# New sentence = Chip Robinson ( 1986 );
Chip;1
Robinson;2
(;0
1986;0
);0
# New sentence = Beecher , Michigan – $ 13,484;
Beecher;5
,;0
Michigan;5
–;0
$;0
13,484;0
# New sentence = Mark Bonham Carter , Baron Bonham-Carter;
Mark;1
Bonham;2
Carter;2
,;0
Baron;1
Bonham-Carter;2
# New sentence = `` O Come All Ye Faithful '';
``;0
O;0
Come;0
All;0
Ye;0
Faithful;0
'';0
# New sentence = Myrtle Beach , United States;
Myrtle;5
Beach;6
,;0
United;5
States;6
# New sentence = This Hour Has 22 Minutes '' cast;
This;0
Hour;0
Has;0
22;0
Minutes;0
'';0
cast;0
# New sentence = Hanningfield Reservoir completed in 1957;
Hanningfield;3
Reservoir;4
completed;0
in;0
1957;0
# New sentence = All three goals of the match were scored by Xherdan Shaqiri .;
All;0
three;0
goals;0
of;0
the;0
match;0
were;0
scored;0
by;0
Xherdan;1
Shaqiri;2
.;0
# New sentence = Head of government : Prime Minister of Andorra;
Head;0
of;0
government;0
:;0
Prime;0
Minister;0
of;0
Andorra;3
# New sentence = Meigs Township , Muskingum County , Ohio;
Meigs;5
Township;6
,;0
Muskingum;5
County;6
,;0
Ohio;5
# New sentence = Communes of the Côte-d'Or department;
Communes;0
of;0
the;0
Cote-d'Or;0
department;0
# New sentence = He is a brother of the noted pianist Chilly Gonzales .;
He;0
is;0
a;0
brother;0
of;0
the;0
noted;0
pianist;0
Chilly;1
Gonzales;2
.;0
# New sentence = James H. Morrison ( D );
James;1
H.;2
Morrison;2
(;0
D;0
);0
# New sentence = St Ann 's College;
St;3
Ann;4
's;4
College;4
# New sentence = Beijing No.8 High School;
Beijing;5
No.8;0
High;0
School;0
# New sentence = Southampton F.C .;
Southampton;3
F.C;4
.;0
# New sentence = He is from Andhra Pradesh in South India .;
He;0
is;0
from;0
Andhra;5
Pradesh;6
in;0
South;5
India;6
.;0
# New sentence = '' Kingdom of Scotland '' ' – William the Lion ( 1165–1214 );
'';0
Kingdom;3
of;4
Scotland;4
'';0
';0
–;0
William;1
the;2
Lion;2
(;0
1165–1214;0
);0
# New sentence = Ka-Zar '' vol .;
Ka-Zar;1
'';0
vol;0
.;0
# New sentence = Black-bellied plover , ''Pluvialis squatarola '';
Black-bellied;0
plover;0
,;0
''Pluvialis;0
squatarola;0
'';0
# New sentence = Kalbar , Queensland;
Kalbar;5
,;0
Queensland;5
# New sentence = ** Circle Jerks – Oddities , Abnormalities and Curiosities '';
**;0
Circle;0
Jerks;0
–;0
Oddities;0
,;0
Abnormalities;0
and;0
Curiosities;0
'';0
# New sentence = George Alexander Eugene Douglas Haig , 2nd Earl Haig ( 1918–2009 );
George;1
Alexander;2
Eugene;2
Douglas;2
Haig;2
,;2
2nd;2
Earl;2
Haig;2
(;0
1918–2009;0
);0
# New sentence = *9378 - Apamea burgessi '';
*9378;0
-;0
Apamea;0
burgessi;0
'';0
# New sentence = It has also been introduced to Australia , Madeira , the Galápagos Islands and the Philippines .;
It;0
has;0
also;0
been;0
introduced;0
to;0
Australia;5
,;0
Madeira;5
,;0
the;0
Galápagos;5
Islands;6
and;0
the;0
Philippines;5
.;0
# New sentence = Doug McClure , Keith Barron;
Doug;1
McClure;2
,;0
Keith;1
Barron;2
# New sentence = Festhalle Frankfurt , Frankfurt , Hesse;
Festhalle;5
Frankfurt;6
,;0
Frankfurt;5
,;0
Hesse;5
# New sentence = He was Mayor of Exeter July 1414 to October 1415 .;
He;0
was;0
Mayor;0
of;0
Exeter;0
July;0
1414;0
to;0
October;0
1415;0
.;0
# New sentence = ' '' Venue : ' '' Daegu Civic Stadium , Daegu;
';0
'';0
Venue;0
:;0
';0
'';0
Daegu;3
Civic;4
Stadium;4
,;0
Daegu;5
# New sentence = ''65 Damien Woody G ( IR ) 7px;
''65;0
Damien;1
Woody;2
G;0
(;0
IR;0
);0
7px;0
# New sentence = Mystery Science Theater 3000 '';
Mystery;0
Science;0
Theater;0
3000;0
'';0
# New sentence = North Woodbridge , California;
North;5
Woodbridge;6
,;0
California;5
# New sentence = Volcanoes National Park , Rwanda;
Volcanoes;5
National;6
Park;6
,;0
Rwanda;5
# New sentence = Mia Wasikowska as Alice Kingsleigh .;
Mia;1
Wasikowska;2
as;0
Alice;1
Kingsleigh;2
.;0
# New sentence = Washington Township , Butler County , Iowa;
Washington;3
Township;4
,;0
Butler;5
County;6
,;0
Iowa;5
# New sentence = ' '' Marcello Trotta ' '';
';0
'';0
Marcello;1
Trotta;2
';0
'';0
# New sentence = Wesley Pritchard ( 1996– ) 36;
Wesley;1
Pritchard;2
(;0
1996–;0
);0
36;0
# New sentence = Petersburg , Virginia;
Petersburg;5
,;0
Virginia;5
# New sentence = '' Telamoptilia hemistacta '' ( Meyrick , 1918 );
'';0
Telamoptilia;0
hemistacta;0
'';0
(;0
Meyrick;1
,;0
1918;0
);0
# New sentence = Melaleuca delta '' Craven;
Melaleuca;0
delta;0
'';0
Craven;0
# New sentence = Serra da Estrela Subregion;
Serra;5
da;6
Estrela;6
Subregion;6
# New sentence = : Ashleigh Brewer ( 2014– );
:;0
Ashleigh;1
Brewer;2
(;0
2014–;0
);0
# New sentence = Albert Pujols [2] ( 2006 , 2010 );
Albert;1
Pujols;2
[2];0
(;0
2006;0
,;0
2010;0
);0
# New sentence = Brian Dillons GAA;
Brian;1
Dillons;2
GAA;0
# New sentence = '' Samurai 7 '';
'';0
Samurai;0
7;0
'';0
# New sentence = ' '' 20px 99 Villeray '' ';
';0
'';0
20px;0
99;0
Villeray;0
'';0
';0
# New sentence = Their debut single , `` Overjoyed '' was subsequently released in April 2012 .;
Their;0
debut;0
single;0
,;0
``;0
Overjoyed;0
'';0
was;0
subsequently;0
released;0
in;0
April;0
2012;0
.;0
# New sentence = 929th Troop Carrier Group : 11 February 1963 – 1 January 1964;
929th;3
Troop;4
Carrier;4
Group;4
:;0
11;0
February;0
1963;0
–;0
1;0
January;0
1964;0
# New sentence = Ethnic stereotypes in comics;
Ethnic;0
stereotypes;0
in;0
comics;0
# New sentence = `` I 'm Not in Love '' by 10cc ( The Original Soundtrack '' , 1975 );
``;0
I;0
'm;0
Not;0
in;0
Love;0
'';0
by;0
10cc;0
(;0
The;0
Original;0
Soundtrack;0
'';0
,;0
1975;0
);0
# New sentence = '' Papilio alexanor '' Esper , 1800;
'';0
Papilio;0
alexanor;0
'';0
Esper;0
,;0
1800;0
# New sentence = John Isner 7–6 ( 4 ) , 5–7 ( 5 ) , 7–5 , 6–4;
John;1
Isner;2
7–6;0
(;0
4;0
);0
,;0
5–7;0
(;0
5;0
);0
,;0
7–5;0
,;0
6–4;0
# New sentence = Metadata Object Description Schema;
Metadata;0
Object;0
Description;0
Schema;0
# New sentence = Maria Adams ( disambiguation );
Maria;1
Adams;2
(;0
disambiguation;0
);0
# New sentence = '' Col des Ares '';
'';0
Col;5
des;6
Ares;6
'';0
# New sentence = Siliștea River ( Țibrin );
Siliștea;5
River;6
(;0
Țibrin;5
);0
# New sentence = *Written by Val Guest and Leslie Thomas;
*Written;0
by;0
Val;1
Guest;2
and;0
Leslie;1
Thomas;2
# New sentence = Billy Vessels ( RB ) :;
Billy;1
Vessels;2
(;0
RB;0
);0
:;0
# New sentence = May 10 – Shel Silverstein , 68 , children 's poet;
May;0
10;0
–;0
Shel;1
Silverstein;2
,;0
68;0
,;0
children;0
's;0
poet;0
# New sentence = `` Stupid Shit '' – Girlicious;
``;0
Stupid;0
Shit;0
'';0
–;0
Girlicious;0
# New sentence = Ch�teau de Ferri�res - Ferrières-en-Brie , Seine-Maritime;
Château;5
de;6
Ferrières;6
-;0
Ferrières-en-Brie;5
,;0
Seine-Maritime;5
# New sentence = Holy Trinity Church , Blythburgh;
Holy;5
Trinity;6
Church;6
,;0
Blythburgh;5
# New sentence = Jesús Rubio Martín;
Jesús;1
Rubio;2
Martín;2
# New sentence = Free Software Foundation Europe;
Free;3
Software;4
Foundation;4
Europe;4
# New sentence = It features Michelle Fairley as the narrator .;
It;0
features;0
Michelle;1
Fairley;2
as;0
the;0
narrator;0
.;0
# New sentence = ' '' Women 's 10,000 metres '' ';
';0
'';0
Women;0
's;0
10;0
metres;0
'';0
';0
# New sentence = 19 , , Stockholm , Cirkus;
19;0
,;0
,;0
Stockholm;5
,;0
Cirkus;0
# New sentence = 632 , Air Force Office of Special Investigations;
632;0
,;0
Air;3
Force;4
Office;4
of;4
Special;4
Investigations;4
# New sentence = K ( Eighth Avenue Local );
K;0
(;0
Eighth;5
Avenue;6
Local;0
);0
# New sentence = File : J150W-Ayers.jpg |Sir Henry Ayers;
File;0
:;0
J150W-Ayers.jpg;0
|Sir;1
Henry;2
Ayers;2
# New sentence = Midnight at Minton 's '' ( 1941 );
Midnight;0
at;0
Minton;0
's;0
'';0
(;0
1941;0
);0
# New sentence = '' Scoparia niphospora '' ( Meyrick , 1884 );
'';0
Scoparia;0
niphospora;0
'';0
(;0
Meyrick;5
,;0
1884;0
);0
# New sentence = Cryptocloser - 1997 Canadian Champion 3-Year-Old Male Horse;
Cryptocloser;0
-;0
1997;0
Canadian;0
Champion;0
3-Year-Old;0
Male;0
Horse;0
# New sentence = His debut single , `` Ca n't Say No '' , was released in the United Kingdom on 16 April 2012 .;
His;0
debut;0
single;0
,;0
``;0
Ca;0
n't;0
Say;0
No;0
'';0
,;0
was;0
released;0
in;0
the;0
United;5
Kingdom;6
on;0
16;0
April;0
2012;0
.;0
# New sentence = Pat Garrity , George McCloud ( 15 );
Pat;1
Garrity;2
,;0
George;1
McCloud;2
(;0
15;0
);0
# New sentence = Dwight Howard ( 12 );
Dwight;1
Howard;2
(;0
12;0
);0
# New sentence = ( There have been slightly older finds in the Savannah River area .;
(;0
There;0
have;0
been;0
slightly;0
older;0
finds;0
in;0
the;0
Savannah;5
River;6
area;0
.;0
# New sentence = '' 'QB '' ' - AJ McCarron , Alabama ( ' '' AFCA '' ' , ' '' WCFF '' ' );
'';0
'QB;0
'';0
';0
-;0
AJ;1
McCarron;2
,;0
Alabama;5
(;0
';0
'';0
AFCA;0
'';0
';0
,;0
';0
'';0
WCFF;0
'';0
';0
);0
# New sentence = Galway , Ireland ( since 1987 );
Galway;5
,;0
Ireland;5
(;0
since;0
1987;0
);0
# New sentence = Before 1945 the area was part of Germany .;
Before;0
1945;0
the;0
area;0
was;0
part;0
of;0
Germany;5
.;0
# New sentence = It reached the Marquesas Islands in 1932 , Mauritius in 1936 , and Réunion in 1957 .;
It;0
reached;0
the;0
Marquesas;5
Islands;6
in;0
1932;0
,;0
Mauritius;5
in;0
1936;0
,;0
and;0
Réunion;5
in;0
1957;0
.;0
# New sentence = CONCACAF U-17 Championship;
CONCACAF;3
U-17;0
Championship;0
# New sentence = Later in the year , she went on to reach two WTA-level finals in Strasbourg and Vienna .;
Later;0
in;0
the;0
year;0
,;0
she;0
went;0
on;0
to;0
reach;0
two;0
WTA-level;0
finals;0
in;0
Strasbourg;5
and;0
Vienna;5
.;0
# New sentence = Reichenau , Switzerland;
Reichenau;5
,;0
Switzerland;5
# New sentence = Hissar ( disambiguation );
Hissar;0
(;0
disambiguation;0
);0
# New sentence = Nick Slyney , 12 .;
Nick;1
Slyney;2
,;0
12;0
.;0
# New sentence = Premier of Newfoundland - Clyde Wells;
Premier;0
of;0
Newfoundland;3
-;0
Clyde;1
Wells;2
# New sentence = • Smoljinac ( 1873 );
•;0
Smoljinac;5
(;0
1873;0
);0
# New sentence = FedEx Express operates Boeing 767-300F and Airbus A300-600;
FedEx;3
Express;4
operates;0
Boeing;0
767-300F;0
and;0
Airbus;0
A300-600;0
# New sentence = Army of the Potomac;
Army;3
of;4
the;4
Potomac;4
# New sentence = Kubrat , Prince of Panagyurishte .;
Kubrat;1
,;2
Prince;2
of;2
Panagyurishte;2
.;0
# New sentence = Kate Sullivan - anchor / reporter ( 2000–2006 );
Kate;1
Sullivan;2
-;0
anchor;0
/;0
reporter;0
(;0
2000–2006;0
);0
# New sentence = ' '' Skindred '' ';
';0
'';0
Skindred;0
'';0
';0
# New sentence = She ran aground on 3 August 1962 near Djibouti and laid up there .;
She;0
ran;0
aground;0
on;0
3;0
August;0
1962;0
near;0
Djibouti;5
and;0
laid;0
up;0
there;0
.;0
# New sentence = Moshe Gafni ( from 23 July 1990 );
Moshe;1
Gafni;2
(;0
from;0
23;0
July;0
1990;0
);0
# New sentence = Murvaux ( 55365 );
Murvaux;3
(;0
55365;0
);0
# New sentence = *1,826 - Darrell K. Smith ( 1990 );
*1,826;0
-;0
Darrell;1
K.;2
Smith;2
(;0
1990;0
);0
# New sentence = '' A Man Alone '' - Frank Sinatra;
'';0
A;0
Man;0
Alone;0
'';0
-;0
Frank;1
Sinatra;2
# New sentence = Rothes F.C .;
Rothes;3
F.C;4
.;0
# New sentence = N67 road ( Ireland );
N67;5
road;6
(;6
Ireland;6
);6
# New sentence = Jodhpur National University;
Jodhpur;3
National;4
University;4
# New sentence = *04916 - Herzberg ( Elster ) , Schönewalde;
*04916;0
-;0
Herzberg;5
(;6
Elster;6
);6
,;0
Schönewalde;5
# New sentence = Charles Emmanuel IV of Sardinia ( 13 July 1807 – 6 October 1819 ) , descended from the youngest daughter of Charles I .;
Charles;1
Emmanuel;2
IV;2
of;2
Sardinia;2
(;0
13;0
July;0
1807;0
–;0
6;0
October;0
1819;0
);0
,;0
descended;0
from;0
the;0
youngest;0
daughter;0
of;0
Charles;1
I;2
.;0
# New sentence = Ice cream cake;
Ice;0
cream;0
cake;0
# New sentence = *The Cathedral of Saint Thomas More is the seat of the Roman Catholic Diocese of Arlington , which comprises Northern Virginia .;
*The;0
Cathedral;5
of;6
Saint;6
Thomas;6
More;6
is;0
the;0
seat;0
of;0
the;0
Roman;3
Catholic;4
Diocese;4
of;4
Arlington;4
,;0
which;0
comprises;0
Northern;5
Virginia;6
.;0
# New sentence = He was the second son of Richard de Clare , 6th Earl of Gloucester and his wife Maud de Lacy , Countess of Gloucester .;
He;0
was;0
the;0
second;0
son;0
of;0
Richard;1
de;2
Clare;2
,;2
6th;2
Earl;2
of;2
Gloucester;2
and;0
his;0
wife;0
Maud;1
de;2
Lacy;2
,;2
Countess;2
of;2
Gloucester;2
.;0
# New sentence = Bluefield]] - Beckley , West Virginia;
Bluefield]];5
-;6
Beckley;6
,;0
West;5
Virginia;6
# New sentence = ' '' Geographic coordinates : ' '';
';0
'';0
Geographic;0
coordinates;0
:;0
';0
'';0
# New sentence = ' '' Earl of Devonshire '' ';
';0
'';0
Earl;0
of;0
Devonshire;0
'';0
';0
# New sentence = 2000 : Croatia , Israel , and Latvia join;
2000;0
:;0
Croatia;5
,;0
Israel;5
,;0
and;0
Latvia;5
join;0
# New sentence = ' '' Herbert Covington Bonner ( D ) 92.5 % ' '' W .;
';0
'';0
Herbert;1
Covington;2
Bonner;2
(;0
D;0
);0
92.05.00;0
%;0
';0
'';0
W;0
.;0
# New sentence = It serves the north-eastern Melbourne suburb of Montmorency opening on 5 September 1923 .;
It;0
serves;0
the;0
north-eastern;0
Melbourne;5
suburb;0
of;0
Montmorency;5
opening;0
on;0
5;0
September;0
1923;0
.;0
# New sentence = Indian Ocean , Rodrigues Island;
Indian;5
Ocean;6
,;0
Rodrigues;5
Island;6
# New sentence = St Oswald 's Church , Ravenstonedale;
St;5
Oswald;6
's;6
Church;6
,;0
Ravenstonedale;5
# New sentence = Jacob K. Javits;
Jacob;1
K.;2
Javits;2
# New sentence = Nick Vernier Band feat. Iain Matthews Woodstock '' ( single ) ( 2009 );
Nick;1
Vernier;2
Band;0
feat.;0
Iain;1
Matthews;2
Woodstock;2
'';0
(;0
single;0
);0
(;0
2009;0
);0
# New sentence = Taliabu masked owl;
Taliabu;0
masked;0
owl;0
# New sentence = He recently appeared on Argumental '' and Celebrity Juice '' .;
He;0
recently;0
appeared;0
on;0
Argumental;0
'';0
and;0
Celebrity;0
Juice;0
'';0
.;0
# New sentence = Mieczysław Mickiewicz , 22 February 1922 – 1 February 1923;
Mieczysław;1
Mickiewicz;2
,;0
22;0
February;0
1922;0
–;0
1;0
February;0
1923;0
# New sentence = Clitheroe Advertiser and Times;
Clitheroe;3
Advertiser;4
and;4
Times;4
# New sentence = '' Having a Party '' ( 1982 );
'';0
Having;0
a;0
Party;0
'';0
(;0
1982;0
);0
# New sentence = ( For details , see Iowa 1st congressional district election , 2006 .;
(;0
For;0
details;0
,;0
see;0
Iowa;3
1st;0
congressional;0
district;0
election;0
,;0
2006;0
.;0
# New sentence = Washington State Route 542;
Washington;5
State;6
Route;6
542;6
# New sentence = Communes of the Alpes-Maritimes department;
Communes;0
of;0
the;0
Alpes-Maritimes;0
department;0
# New sentence = ' '' Horatio Seymour , Jr . '' ';
';0
'';0
Horatio;1
Seymour;2
,;2
Jr;2
.;0
'';0
';0
# New sentence = Metropolitan Atlanta Rapid Transit Authority;
Metropolitan;3
Atlanta;4
Rapid;4
Transit;4
Authority;4
# New sentence = Howard Baker , Deceased .;
Howard;1
Baker;2
,;0
Deceased;0
.;0
# New sentence = Chico Buarque , Antonio Carlos Jobim;
Chico;1
Buarque;2
,;0
Antonio;1
Carlos;2
Jobim;2
# New sentence = Thomas Witlam Atkinson ( 1799–1861 );
Thomas;1
Witlam;2
Atkinson;2
(;0
1799–1861;0
);0
# New sentence = ** '' Wolverhampton Wanderers '' ' 4–3 Leicester City ( 25 October 2003 );
**;0
'';0
Wolverhampton;3
Wanderers;4
'';0
';0
4–3;0
Leicester;3
City;4
(;0
25;0
October;0
2003;0
);0
# New sentence = 1979 – Steve Hillage – ''Open '';
1979;0
–;0
Steve;1
Hillage;2
–;0
''Open;0
'';0
# New sentence = ** '' 'Gaihawk '' ' - MiG-29 Fulcrum '';
**;0
'';0
'Gaihawk;0
'';0
';0
-;0
MiG-29;0
Fulcrum;0
'';0
# New sentence = Sang Doo ! Let 's Go to School '';
Sang;0
Doo;0
!;0
Let;0
's;0
Go;0
to;0
School;0
'';0
# New sentence = Webb Pierce ( 1921–1991 ) – singer;
Webb;1
Pierce;2
(;0
1921–1991;0
);0
–;0
singer;0
# New sentence = St. Mary 's , Alaska;
St.;5
Mary;6
's;6
,;0
Alaska;5
# New sentence = Juan Mirabal , Taos Pueblo ( 1903–1970 );
Juan;1
Mirabal;2
,;0
Taos;5
Pueblo;6
(;0
1903–1970;0
);0
# New sentence = It lies south-east of Aleksandrów Kujawski and south-east of Toruń .;
It;0
lies;0
south-east;0
of;0
Aleksandrów;5
Kujawski;6
and;0
south-east;0
of;0
Toruń;5
.;0
# New sentence = It was held to elect members of the Legislative Assembly of British Columbia .;
It;0
was;0
held;0
to;0
elect;0
members;0
of;0
the;0
Legislative;3
Assembly;4
of;4
British;4
Columbia;4
.;0
# New sentence = '' Teleiodes flavimaculella '' ( Herrich-Schäffer , 1854 );
'';0
Teleiodes;0
flavimaculella;0
'';0
(;0
Herrich-Schäffer;1
,;0
1854;0
);0
# New sentence = Greci , Mehedinți;
Greci;5
,;0
Mehedinți;5
# New sentence = Bellevue Downtown Park : 2015;
Bellevue;5
Downtown;6
Park;6
:;0
2015;0
# New sentence = City of Ten Thousand Buddhas , in Ukiah , California;
City;5
of;6
Ten;6
Thousand;6
Buddhas;6
,;0
in;0
Ukiah;5
,;0
California;5
# New sentence = White House , Jamaica;
White;5
House;6
,;0
Jamaica;5
# New sentence = Estadio Olímpico Metropolitano , San Pedro Sula , Honduras;
Estadio;5
Olímpico;6
Metropolitano;6
,;0
San;5
Pedro;6
Sula;6
,;0
Honduras;5
# New sentence = Famous among them were Jayatirtha , Sripadaraya , Vyasatirtha .;
Famous;0
among;0
them;0
were;0
Jayatirtha;1
,;0
Sripadaraya;1
,;0
Vyasatirtha;1
.;0
# New sentence = Dubuque County , Iowa;
Dubuque;5
County;6
,;0
Iowa;5
# New sentence = LoLo Jones ' '' ';
LoLo;1
Jones;2
';0
'';0
';0
# New sentence = '' Revivor '' ( 2003 ) ( remix album );
'';0
Revivor;0
'';0
(;0
2003;0
);0
(;0
remix;0
album;0
);0
# New sentence = Aginskoye , Zabaykalsky Krai;
Aginskoye;5
,;0
Zabaykalsky;5
Krai;6
# New sentence = Roger Lutz ( 25 Oct 2003 – 30 June 2004 );
Roger;1
Lutz;2
(;0
25;0
Oct;0
2003;0
–;0
30;0
June;0
2004;0
);0
# New sentence = Eugen Burg as Kaiser Franz Josef;
Eugen;1
Burg;2
as;0
Kaiser;1
Franz;2
Josef;2
# New sentence = 100px '' Samuel J. Kirkwood;
100px;0
'';0
Samuel;1
J.;2
Kirkwood;2
# New sentence = M. H. de Young Memorial Museum;
M.;3
H.;4
de;4
Young;4
Memorial;4
Museum;4
# New sentence = Seven Network ( 6 );
Seven;3
Network;4
(;0
6;0
);0
# New sentence = '' The Puppet Master '' ( 2003 );
'';0
The;0
Puppet;0
Master;0
'';0
(;0
2003;0
);0
# New sentence = He previously represented the Socialist Left Party .;
He;0
previously;0
represented;0
the;0
Socialist;3
Left;4
Party;4
.;0
# New sentence = Pennsylvania Farm Show Complex & Expo Center;
Pennsylvania;3
Farm;4
Show;4
Complex;4
&;4
Expo;4
Center;4
# New sentence = Iowa John Deere Dealers 250;
Iowa;5
John;3
Deere;4
Dealers;4
250;0
# New sentence = Avant que l'ombre ... '';
Avant;0
que;0
l'ombre;0
...;0
'';0
# New sentence = He was born in Beaumont , Texas .;
He;0
was;0
born;0
in;0
Beaumont;5
,;0
Texas;5
.;0
# New sentence = Antenor Orrego Private University ( UPAO );
Antenor;3
Orrego;4
Private;4
University;4
(;0
UPAO;0
);0
# New sentence = The couple were also the parents of Robert Devereux , 2nd Earl of Essex .;0
The;0
couple;0
were;0
also;0
the;0
parents;0
of;0
Robert;1
Devereux;2
,;2
2nd;2
Earl;2
of;2
Essex;2
.;0
# New sentence = Eyton on Severn;
Eyton;5
on;6
Severn;6
# New sentence = Soon after his appointment , in 1897 , he was knighted .;
Soon;0
after;0
his;0
appointment;0
,;0
in;0
1897;0
,;0
he;0
was;0
knighted;0
.;0
# New sentence = ' '' Pope Pius IV '' ';
';0
'';0
Pope;1
Pius;2
IV;2
'';0
';0
# New sentence = West Florida Argonauts;
West;3
Florida;4
Argonauts;4
# New sentence = He was drafted by the New England Patriots in the fourth round of the 2013 NFL Draft .;
He;0
was;0
drafted;0
by;0
the;0
New;3
England;4
Patriots;4
in;0
the;0
fourth;0
round;0
of;0
the;0
2013;0
NFL;0
Draft;0
.;0
# New sentence = The entire Municipality of Destrnik is now included in the Drava Statistical Region .;
The;0
entire;0
Municipality;5
of;6
Destrnik;6
is;0
now;0
included;0
in;0
the;0
Drava;5
Statistical;6
Region;6
.;0
# New sentence = King 's Cross St. Pancras tube station;
King;5
's;6
Cross;6
St.;6
Pancras;6
tube;6
station;6
# New sentence = She lives in Bokod with her husband and two children .;
She;0
lives;0
in;0
Bokod;5
with;0
her;0
husband;0
and;0
two;0
children;0
.;0
# New sentence = Allaert van Everdingen;
Allaert;1
van;2
Everdingen;2
# New sentence = Providence , Guyana;
Providence;5
,;0
Guyana;5
# New sentence = David Bruce ( 1855-1931 );
David;1
Bruce;2
(;0
1855-1931;0
);0
# New sentence = ' '' Marco Melandri '' ';
';0
'';0
Marco;1
Melandri;2
'';0
';0
# New sentence = He played important role in the getting Barisal Burners to get them into the finals .;
He;0
played;0
important;0
role;0
in;0
the;0
getting;0
Barisal;3
Burners;4
to;0
get;0
them;0
into;0
the;0
finals;0
.;0
