tokens	labels1	labels2
# New sentence = Free Software Foundation Europe	0	
Free	3	3
Software	4	4
Foundation	4	4
Europe	4	4
# New sentence = It features Michelle Fairley as the narrator .	0	
It	0	0
features	0	0
Michelle	1	1
Fairley	2	2
as	0	0
the	0	0
narrator	0	0
.	0	0
# New sentence = ' '' Women 's 10,000 metres '' '	0	
'	0	0
''	0	0
Women	0	0
's	0	0
10	0	0
metres	0	0
''	0	0
'	0	0
# New sentence = 19 , , Stockholm , Cirkus	0	
19	0	0
,	0	0
,	0	0
Stockholm	5	5
,	6	0
Cirkus	6	0
# New sentence = 632 , Air Force Office of Special Investigations	0	
632	0	0
,	0	0
Air	3	3
Force	4	4
Office	4	4
of	4	4
Special	4	4
Investigations	4	4
# New sentence = K ( Eighth Avenue Local )	0	
K	3	0
(	4	0
Eighth	4	5
Avenue	4	6
Local	4	0
)	4	0
# New sentence = File : J150W-Ayers.jpg |Sir Henry Ayers	0	
File	0	0
:	0	0
J150W-Ayers.jpg	0	0
|Sir	1	1
Henry	2	2
Ayers	2	2
# New sentence = Midnight at Minton 's '' ( 1941 )	0	
Midnight	0	0
at	0	0
Minton	0	0
's	0	0
''	0	0
(	0	0
1941	0	0
)	0	0
# New sentence = '' Scoparia niphospora '' ( Meyrick , 1884 )	0	
''	0	0
Scoparia	0	0
niphospora	0	0
''	0	0
(	0	0
Meyrick	1	1
,	0	0
1884	0	0
)	0	0
# New sentence = Cryptocloser - 1997 Canadian Champion 3-Year-Old Male Horse	0	
Cryptocloser	0	0
-	0	0
1997	0	0
Canadian	0	0
Champion	0	0
3-Year-Old	0	0
Male	0	0
Horse	0	0
# New sentence = His debut single , `` Ca n't Say No '' , was released in the United Kingdom on 16 April 2012 .	0	
His	0	0
debut	0	0
single	0	0
,	0	0
``	0	0
Ca	0	0
n't	0	0
Say	0	0
No	0	0
''	0	0
,	0	0
was	0	0
released	0	0
in	0	0
the	5	0
United	6	5
Kingdom	6	6
on	0	0
16	0	0
April	0	0
2012	0	0
.	0	0
# New sentence = Pat Garrity , George McCloud ( 15 )	0	
Pat	1	1
Garrity	2	2
,	0	0
George	1	1
McCloud	2	2
(	0	0
15	0	0
)	0	0
# New sentence = Dwight Howard ( 12 )	0	
Dwight	1	1
Howard	2	2
(	0	0
12	0	0
)	0	0
# New sentence = ( There have been slightly older finds in the Savannah River area .	0	
(	0	0
There	0	0
have	0	0
been	0	0
slightly	0	0
older	0	0
finds	0	0
in	0	0
the	5	0
Savannah	6	5
River	6	6
area	0	0
.	0	0
# New sentence = '' 'QB '' ' - AJ McCarron , Alabama ( ' '' AFCA '' ' , ' '' WCFF '' ' )	0	
''	0	0
'QB	0	0
''	0	0
'	0	0
-	0	0
AJ	5	1
McCarron	6	2
,	6	0
Alabama	6	5
(	0	0
'	0	0
''	0	0
AFCA	0	0
''	0	0
'	0	0
,	0	0
'	0	0
''	0	0
WCFF	0	0
''	0	0
'	0	0
)	0	0
# New sentence = Galway , Ireland ( since 1987 )	0	
Galway	5	5
,	6	0
Ireland	6	5
(	0	0
since	0	0
1987	0	0
)	0	0
# New sentence = Before 1945 the area was part of Germany .	0	
Before	0	0
1945	0	0
the	0	0
area	0	0
was	0	0
part	0	0
of	0	0
Germany	5	5
.	0	0
# New sentence = It reached the Marquesas Islands in 1932 , Mauritius in 1936 , and Réunion in 1957 .	0	
It	0	0
reached	0	0
the	5	0
Marquesas	6	5
Islands	6	6
in	0	0
1932	0	0
,	0	0
Mauritius	5	5
in	0	0
1936	0	0
,	0	0
and	0	0
Réunion	0	5
in	0	0
1957	0	0
.	0	0
# New sentence = CONCACAF U-17 Championship	0	
CONCACAF	3	3
U-17	0	0
Championship	0	0
# New sentence = Later in the year , she went on to reach two WTA-level finals in Strasbourg and Vienna .	0	
Later	0	0
in	0	0
the	0	0
year	0	0
,	0	0
she	0	0
went	0	0
on	0	0
to	0	0
reach	0	0
two	0	0
WTA-level	3	0
finals	0	0
in	0	0
Strasbourg	5	5
and	0	0
Vienna	5	5
.	0	0
# New sentence = Reichenau , Switzerland	0	
Reichenau	5	5
,	6	0
Switzerland	6	5
# New sentence = Hissar ( disambiguation )	0	
Hissar	5	5
(	0	0
disambiguation	0	0
)	0	0
# New sentence = Nick Slyney , 12 .	0	
Nick	1	1
Slyney	2	2
,	0	0
12	0	0
.	0	0
# New sentence = Premier of Newfoundland - Clyde Wells	0	
Premier	0	0
of	0	0
Newfoundland	3	3
-	0	0
Clyde	1	1
Wells	2	2
# New sentence = • Smoljinac ( 1873 )	0	
•	0	0
Smoljinac	0	5
(	0	0
1873	0	0
)	0	0
# New sentence = FedEx Express operates Boeing 767-300F and Airbus A300-600	0	
FedEx	3	3
Express	4	4
operates	0	0
Boeing	0	0
767-300F	0	0
and	0	0
Airbus	0	0
A300-600	0	0
# New sentence = Army of the Potomac	0	
Army	3	3
of	4	4
the	4	4
Potomac	4	4
# New sentence = Kubrat , Prince of Panagyurishte .	0	
Kubrat	1	1
,	2	2
Prince	2	2
of	2	2
Panagyurishte	2	2
.	0	0
# New sentence = Kate Sullivan - anchor / reporter ( 2000–2006 )	0	
Kate	1	1
Sullivan	2	2
-	0	0
anchor	0	0
/	0	0
reporter	0	0
(	0	0
2000–2006	0	0
)	0	0
# New sentence = ' '' Skindred '' '	0	
'	0	0
''	0	0
Skindred	0	0
''	0	0
'	0	0
# New sentence = She ran aground on 3 August 1962 near Djibouti and laid up there .	0	
She	1	0
ran	0	0
aground	0	0
on	0	0
3	0	0
August	0	0
1962	0	0
near	0	0
Djibouti	0	5
and	0	0
laid	0	0
up	0	0
there	0	0
.	0	0
# New sentence = Moshe Gafni ( from 23 July 1990 )	0	
Moshe	1	1
Gafni	2	2
(	0	0
from	0	0
23	0	0
July	0	0
1990	0	0
)	0	0
# New sentence = Murvaux ( 55365 )	0	
Murvaux	5	3
(	0	0
55365	0	0
)	0	0
# New sentence = *1,826 - Darrell K. Smith ( 1990 )	0	
*1,826	0	0
-	0	0
Darrell	1	1
K.	2	2
Smith	2	2
(	0	0
1990	0	0
)	0	0
# New sentence = '' A Man Alone '' - Frank Sinatra	0	
''	0	0
A	0	0
Man	0	0
Alone	0	0
''	0	0
-	0	0
Frank	1	1
Sinatra	2	2
# New sentence = Rothes F.C .	0	
Rothes	3	3
F.C	4	4
.	4	0
# New sentence = N67 road ( Ireland )	0	
N67	5	5
road	6	6
(	6	6
Ireland	6	6
)	6	6
# New sentence = Jodhpur National University	0	
Jodhpur	3	5
National	4	6
University	4	6
# New sentence = *04916 - Herzberg ( Elster ) , Schönewalde	0	
*04916	0	0
-	0	0
Herzberg	5	5
(	6	6
Elster	6	6
)	6	6
,	6	0
Schönewalde	6	5
# New sentence = Charles Emmanuel IV of Sardinia ( 13 July 1807 – 6 October 1819 ) , descended from the youngest daughter of Charles I .	0	
Charles	1	1
Emmanuel	2	2
IV	2	2
of	0	2
Sardinia	3	2
(	0	0
13	0	0
July	0	0
1807	0	0
–	0	0
6	0	0
October	0	0
1819	0	0
)	0	0
,	0	0
descended	0	0
from	0	0
the	0	0
youngest	0	0
daughter	0	0
of	0	0
Charles	1	1
I	2	2
.	0	0
# New sentence = Ice cream cake	0	
Ice	0	0
cream	0	0
cake	0	0
# New sentence = *The Cathedral of Saint Thomas More is the seat of the Roman Catholic Diocese of Arlington , which comprises Northern Virginia .	0	
*The	3	0
Cathedral	4	5
of	4	6
Saint	4	6
Thomas	4	6
More	4	6
is	0	0
the	0	0
seat	0	0
of	0	0
the	0	0
Roman	3	3
Catholic	4	4
Diocese	4	4
of	4	4
Arlington	4	4
,	0	0
which	0	0
comprises	0	0
Northern	5	5
Virginia	6	6
.	0	0
# New sentence = He was the second son of Richard de Clare , 6th Earl of Gloucester and his wife Maud de Lacy , Countess of Gloucester .	0	
He	0	0
was	0	0
the	0	0
second	0	0
son	0	0
of	0	0
Richard	1	1
de	2	2
Clare	2	2
,	2	2
6th	2	2
Earl	2	2
of	2	2
Gloucester	2	2
and	0	0
his	0	0
wife	0	0
Maud	1	1
de	2	2
Lacy	2	2
,	2	2
Countess	2	2
of	2	2
Gloucester	2	2
.	0	0
# New sentence = Bluefield]] - Beckley , West Virginia	0	
Bluefield]]	5	5
-	6	6
Beckley	6	6
,	6	0
West	6	5
Virginia	6	6
# New sentence = ' '' Geographic coordinates : ' ''	0	
'	0	0
''	0	0
Geographic	0	0
coordinates	0	0
:	0	0
'	0	0
''	0	0
# New sentence = ' '' Earl of Devonshire '' '	0	
'	0	0
''	0	0
Earl	0	0
of	0	0
Devonshire	0	0
''	0	0
'	0	0
# New sentence = 2000 : Croatia , Israel , and Latvia join	0	
2000	0	0
:	0	0
Croatia	3	5
,	0	0
Israel	3	5
,	0	0
and	0	0
Latvia	3	5
join	0	0
# New sentence = ' '' Herbert Covington Bonner ( D ) 92.5 % ' '' W .	0	
'	0	0
''	0	0
Herbert	1	1
Covington	2	2
Bonner	2	2
(	0	0
D	0	3
)	0	0
3,836805556	0	0
%	0	0
'	0	0
''	0	0
W	0	0
.	0	0
# New sentence = It serves the north-eastern Melbourne suburb of Montmorency opening on 5 September 1923 .	0	
It	0	0
serves	0	0
the	0	0
north-eastern	0	0
Melbourne	0	5
suburb	0	0
of	0	0
Montmorency	0	5
opening	0	0
on	0	0
5	0	0
September	0	0
1923	0	0
.	0	0
# New sentence = Indian Ocean , Rodrigues Island	0	
Indian	5	5
Ocean	6	6
,	6	0
Rodrigues	6	5
Island	6	6
# New sentence = St Oswald 's Church , Ravenstonedale	0	
St	5	5
Oswald	6	6
's	6	6
Church	6	6
,	6	0
Ravenstonedale	6	5
# New sentence = Jacob K. Javits	0	
Jacob	1	1
K.	2	2
Javits	2	2
# New sentence = Nick Vernier Band feat. Iain Matthews Woodstock '' ( single ) ( 2009 )	0	
Nick	3	3
Vernier	4	4
Band	4	4
feat.	0	0
Iain	3	1
Matthews	4	2
Woodstock	4	2
''	0	0
(	0	0
single	0	0
)	0	0
(	0	0
2009	0	0
)	0	0
# New sentence = Taliabu masked owl	0	
Taliabu	0	0
masked	0	0
owl	0	0
# New sentence = He recently appeared on Argumental '' and Celebrity Juice '' .	0	
He	0	0
recently	0	0
appeared	0	0
on	0	0
Argumental	0	0
''	0	0
and	0	0
Celebrity	0	0
Juice	0	0
''	0	0
.	0	0
# New sentence = Mieczys?aw Mickiewicz , 22 February 1922 – 1 February 1923	0	
Mieczys?aw	1	1
Mickiewicz	2	2
,	0	0
22	0	0
February	0	0
1922	0	0
–	0	0
1	0	0
February	0	0
1923	0	0
# New sentence = Clitheroe Advertiser and Times	0	
Clitheroe	3	3
Advertiser	4	4
and	4	4
Times	4	4
# New sentence = '' Having a Party '' ( 1982 )	0	
''	0	0
Having	0	0
a	0	0
Party	0	0
''	0	0
(	0	0
1982	0	0
)	0	0
# New sentence = ( For details , see Iowa 1st congressional district election , 2006 .	0	
(	0	0
For	0	0
details	0	0
,	0	0
see	0	0
Iowa	0	3
1st	0	0
congressional	0	0
district	0	0
election	0	0
,	0	0
2006	0	0
.	0	0
# New sentence = Washington State Route 542	0	
Washington	5	5
State	6	6
Route	6	6
542	6	6
# New sentence = Communes of the Alpes-Maritimes department	0	
Communes	0	0
of	0	0
the	0	0
Alpes-Maritimes	3	5
department	4	6
# New sentence = ' '' Horatio Seymour , Jr . '' '	0	
'	0	0
''	0	0
Horatio	1	1
Seymour	2	2
,	2	2
Jr	2	2
.	0	0
''	0	0
'	0	0
# New sentence = Metropolitan Atlanta Rapid Transit Authority	0	
Metropolitan	3	3
Atlanta	4	4
Rapid	4	4
Transit	4	4
Authority	4	4
# New sentence = Howard Baker , Deceased .	0	
Howard	1	1
Baker	2	2
,	2	0
Deceased	2	0
.	0	0
# New sentence = Chico Buarque , Antonio Carlos Jobim	0	
Chico	1	1
Buarque	2	2
,	0	0
Antonio	1	1
Carlos	2	2
Jobim	2	2
# New sentence = Thomas Witlam Atkinson ( 1799–1861 )	0	
Thomas	1	1
Witlam	2	2
Atkinson	2	2
(	0	0
1799–1861	0	0
)	0	0
# New sentence = ** '' Wolverhampton Wanderers '' ' 4–3 Leicester City ( 25 October 2003 )	0	
**	0	0
''	0	0
Wolverhampton	3	3
Wanderers	4	4
''	0	0
'	0	0
4–3	0	0
Leicester	3	3
City	4	4
(	0	0
25	0	0
October	0	0
2003	0	0
)	0	0
