tokens;labels
the;0
New;3
Shakespeare;4
Theatre;4
,;0
in;0
Liverpool;5
.;0
# New sentence = Alaska Peninsula National Wildlife Refuge;0
Alaska;5
Peninsula;6
National;6
Wildlife;6
Refuge;6
# New sentence = `` ( from the album Punk Rock Confidential '' );0
``;0
(;0
from;0
the;0
album;0
Punk;0
Rock;0
Confidential;0
'';0
);0
# New sentence = R. A. Jones;0
R.;1
A.;2
Jones;2
# New sentence = He first enrolled at Fort Scott Community College before transferring to Arizona State University .;0
He;0
first;0
enrolled;0
at;0
Fort;3
Scott;4
Community;4
College;4
before;0
transferring;0
to;0
Arizona;3
State;4
University;4
.;0
# New sentence = ( 1974 , Margaret );0
(;0
1974;0
,;0
Margaret;0
);0
# New sentence = Bill Berry , Peter Buck , Mike Mills , Michael Stipe;0
Bill;1
Berry;2
,;0
Peter;1
Buck;2
,;0
Mike;1
Mills;2
,;0
Michael;1
Stipe;2
# New sentence = Lewis David de Schweinitz;0
Lewis;1
David;2
de;2
Schweinitz;2
# New sentence = In 1998 and 1999 , he played for the Osaka Kintetsu Buffaloes in Japan 's Nippon Professional Baseball .;0
In;0
1998;0
and;0
1999;0
,;0
he;0
played;0
for;0
the;0
Osaka;3
Kintetsu;4
Buffaloes;4
in;0
Japan;5
's;0
Nippon;3
Professional;4
Baseball;4
.;0
# New sentence = Aurelius Township , Washington County , Ohio;0
Aurelius;5
Township;6
,;0
Washington;5
County;6
,;0
Ohio;5
# New sentence = Warta Nabada District;0
Warta;5
Nabada;6
District;6
# New sentence = 1977 IAAF World Cross Country Championships – Senior women 's race;0
1977;0
IAAF;3
World;4
Cross;4
Country;4
Championships;4
–;0
Senior;0
women;0
's;0
race;0
# New sentence = He played Ronnie Baxter in the first round and lost 1–3 .;0
He;0
played;0
Ronnie;1
Baxter;2
in;0
the;0
first;0
round;0
and;0
lost;0
1–3;0
.;0
# New sentence = Centre for Fine Arts , Brussels;0
Centre;3
for;4
Fine;4
Arts;4
,;0
Brussels;5
# New sentence = '' Fucking Åmål '' ( 1998 );0
'';0
Fucking;0
Åmål;0
'';0
(;0
1998;0
);0
# New sentence = She also played for Yeşilyurt .;0
She;0
also;0
played;0
for;0
Yeşilyurt;3
.;0
# New sentence = Alf Wiig ( 1952-1961 );0
Alf;1
Wiig;2
(;0
1952-1961;0
);0
# New sentence = Colin Charvis ( capt .;0
Colin;1
Charvis;2
(;0
capt;0
.;0
# New sentence = ' '' Aprilia '' ';0
';0
'';0
Aprilia;3
'';0
';0
# New sentence = *Portsmouth to Bilbao 2015 - present;0
*Portsmouth;5
to;0
Bilbao;5
2015;0
-;0
present;0
# New sentence = It passes through Shenley , London Colney and Colney Heath , finishing in Smallford near St Albans , where it links with the Alban Way .;0
It;0
passes;0
through;0
Shenley;5
,;0
London;5
Colney;6
and;0
Colney;5
Heath;6
,;0
finishing;0
in;0
Smallford;5
near;0
St;5
Albans;6
,;0
where;0
it;0
links;0
with;0
the;0
Alban;5
Way;6
.;0
# New sentence = *20 November 2009 - ' '' Lostprophets '' ' / The Blackout / The King Blues / Egyptian Hip Hop;0
*20;0
November;0
2009;0
-;0
';0
'';0
Lostprophets;3
'';0
';0
/;0
The;3
Blackout;4
/;0
The;3
King;4
Blues;4
/;0
Egyptian;3
Hip;4
Hop;4
# New sentence = Virginia State Route 91;0
Virginia;5
State;6
Route;6
91;6
# New sentence = Stratford , Oklahoma;0
Stratford;5
,;0
Oklahoma;5
# New sentence = `` One Mint Julep '' ( 1961 );0
``;0
One;0
Mint;0
Julep;0
'';0
(;0
1961;0
);0
# New sentence = ' '' Lewis Gilbert '' ';0
';0
'';0
Lewis;1
Gilbert;2
'';0
';0
# New sentence = Human rights in the State of Palestine;0
Human;0
rights;0
in;0
the;0
State;5
of;6
Palestine;6
# New sentence = History of Portugal ( 1640–1777 );0
History;0
of;0
Portugal;5
(;0
1640–1777;0
);0
# New sentence = The U.S. Space & Rocket Center is located in Huntsville , Alabama;0
The;0
U.S.;3
Space;4
&;4
Rocket;4
Center;4
is;0
located;0
in;0
Huntsville;5
,;0
Alabama;5
# New sentence = ' '' Ecuador '' ' -;0
';0
'';0
Ecuador;5
'';0
';0
-;0
# New sentence = Lloyd Robson Oval , Port Moresby;0
Lloyd;5
Robson;6
Oval;6
,;0
Port;5
Moresby;6
# New sentence = Alexandria on the Indus , Pakistan;0
Alexandria;5
on;6
the;6
Indus;6
,;0
Pakistan;5
# New sentence = Ben Boyd National Park;0
Ben;5
Boyd;6
National;6
Park;6
# New sentence = Shaikh Rasheed Ahmad;0
Shaikh;1
Rasheed;2
Ahmad;2
# New sentence = Phyllis Coates , Adventures of Superman '' ( 1952–1953 ) '';0
Phyllis;1
Coates;2
,;0
Adventures;0
of;0
Superman;0
'';0
(;0
1952–1953;0
);0
'';0
# New sentence = ISO 3166-2 codes for Japan;0
ISO;0
3166-2;0
codes;0
for;0
Japan;5
# New sentence = Three of those executed were captured in Slovakia .;0
Three;0
of;0
those;0
executed;0
were;0
captured;0
in;0
Slovakia;5
.;0
# New sentence = ' '' Lindley Beckworth ( D ) Unopposed '' ';0
';0
'';0
Lindley;1
Beckworth;2
(;0
D;0
);0
Unopposed;0
'';0
';0
# New sentence = Dent Group / Keisley Limestone;0
Dent;5
Group;6
/;0
Keisley;5
Limestone;6
# New sentence = This version was released by Decca Records as catalog number 24391 .;0
This;0
version;0
was;0
released;0
by;0
Decca;3
Records;4
as;0
catalog;0
number;0
24391;0
.;0
# New sentence = '' Acontia gratiosa '' Wallengren , 1856;0
'';0
Acontia;0
gratiosa;0
'';0
Wallengren;1
,;0
1856;0
# New sentence = Osei Kofi Tutu I , Asantehene ( 1701–1717 );0
Osei;1
Kofi;2
Tutu;2
I;2
,;0
Asantehene;0
(;0
1701–1717;0
);0
# New sentence = File : JohnHancockSmall.jpg| '' John Hancock '' ' of Massachusetts;0
File;0
:;0
JohnHancockSmall.jpg|;0
'';0
John;1
Hancock;2
'';0
';0
of;0
Massachusetts;5
# New sentence = Johnnie To , Law Wing-cheung;0
Johnnie;1
To;2
,;0
Law;1
Wing-cheung;2
# New sentence = 1949 ' '' Alan Fletcher '' ';0
1949;0
';0
'';0
Alan;1
Fletcher;2
'';0
';0
# New sentence = '' Inspiration '' ( Wide Hive Records , 2004 );0
'';0
Inspiration;0
'';0
(;0
Wide;3
Hive;4
Records;4
,;0
2004;0
);0
# New sentence = If Heaven Was n't So Far Away;0
If;0
Heaven;0
Was;0
n't;0
So;0
Far;0
Away;0
# New sentence = The ' '' ''Edmeston Local '' ' '' is a defunct newspaper from Edmeston , New York that was printed between 1882 and 1943 .;0
The;0
';0
'';0
''Edmeston;3
Local;4
'';0
';0
'';0
is;0
a;0
defunct;0
newspaper;0
from;0
Edmeston;5
,;0
New;5
York;6
that;0
was;0
printed;0
between;0
1882;0
and;0
1943;0
.;0
# New sentence = George Somers ( American football );0
George;1
Somers;2
(;0
American;0
football;0
);0
# New sentence = Robert T. Hill Middle School 6-8;0
Robert;3
T.;4
Hill;4
Middle;4
School;4
06.sie;0
# New sentence = Tufts University , University of Oregon , University of Notre Dame;0
Tufts;3
University;4
,;0
University;3
of;4
Oregon;4
,;0
University;3
of;4
Notre;4
Dame;4
# New sentence = Karlgarin , Western Australia;0
Karlgarin;5
,;0
Western;5
Australia;6
# New sentence = This accusation was witnessed by millions on the Headlines Today programme anchored by Rahul Kanwal .;0
This;0
accusation;0
was;0
witnessed;0
by;0
millions;0
on;0
the;0
Headlines;0
Today;0
programme;0
anchored;0
by;0
Rahul;1
Kanwal;2
.;0
# New sentence = Juan Zorrilla de San Martín;0
Juan;1
Zorrilla;2
de;2
San;2
Martín;2
# New sentence = Edward Lee ( bishop );0
Edward;1
Lee;2
(;0
bishop;0
);0
# New sentence = They are named after the Barito River .;0
They;0
are;0
named;0
after;0
the;0
Barito;5
River;6
.;0
# New sentence = Prince Edward Island '' : Charlottetown , Bonshaw , Cornwall;0
Prince;5
Edward;6
Island;6
'';0
:;0
Charlottetown;5
,;0
Bonshaw;5
,;0
Cornwall;5
# New sentence = ' '' Pakistan '' ';0
';0
'';0
Pakistan;5
'';0
';0
# New sentence = M1 ( *Plans : 1 Mbit / s , 2 Mbit / s , 4 Mbit / s , 7.2 Mbit / s , 21 Mbit / s );0
M1;0
(;0
*Plans;0
:;0
1;0
Mbit;0
/;0
s;0
,;0
2;0
Mbit;0
/;0
s;0
,;0
4;0
Mbit;0
/;0
s;0
,;0
07.lut;0
Mbit;0
/;0
s;0
,;0
21;0
Mbit;0
/;0
s;0
);0
# New sentence = Thom Wilson – production;0
Thom;1
Wilson;2
–;0
production;0
# New sentence = Gary Bradds ( 1963 , 1964 );0
Gary;1
Bradds;2
(;0
1963;0
,;0
1964;0
);0
# New sentence = This area was to become part of Lincoln County , North Carolina in 1779 , and eventually Gaston County , in 1846 .;0
This;0
area;0
was;0
to;0
become;0
part;0
of;0
Lincoln;5
County;6
,;0
North;5
Carolina;6
in;0
1779;0
,;0
and;0
eventually;0
Gaston;5
County;6
,;0
in;0
1846;0
.;0
# New sentence = Ken Sanders ( 5 );0
Ken;1
Sanders;2
(;0
5;0
);0
# New sentence = Bassist Bryan Beller stated , `` We ended up using our different influences to write for each other .;0
Bassist;0
Bryan;1
Beller;2
stated;0
,;0
``;0
We;0
ended;0
up;0
using;0
our;0
different;0
influences;0
to;0
write;0
for;0
each;0
other;0
.;0
# New sentence = ' '' Iowa Energy '' '†;0
';0
'';0
Iowa;3
Energy;4
'';0
'†;0
# New sentence = Kansas in the Civil War;0
Kansas;5
in;0
the;0
Civil;0
War;0
# New sentence = Tom Carper , U.S. Senator from Delaware .;0
Tom;1
Carper;2
,;0
U.S.;0
Senator;0
from;0
Delaware;5
.;0
# New sentence = Administrative divisions of Saint Petersburg;0
Administrative;0
divisions;0
of;0
Saint;5
Petersburg;6
# New sentence = Royal Photographic Society ( RPS );0
Royal;3
Photographic;4
Society;4
(;0
RPS;3
);0
# New sentence = Crested bobwhite , introduced successfully to the Grenadines and the Virgin Islands;0
Crested;0
bobwhite;0
,;0
introduced;0
successfully;0
to;0
the;0
Grenadines;5
and;0
the;0
Virgin;5
Islands;6
# New sentence = drawn by Mitsuo Hashimoto;0
drawn;0
by;0
Mitsuo;1
Hashimoto;2
# New sentence = Committee on the Judiciary;0
Committee;3
on;4
the;4
Judiciary;4
# New sentence = Kylie Minogue has received four wins from ten nominations , more than any other artist , for `` Where the Wild Roses Grow '' ( with Nick Cave and the Bad Seeds ) in 1996 , `` Spinning Around '' in 2000 , Light Years '' in 2001 and Fever '' in 2002 .;0
Kylie;1
Minogue;2
has;0
received;0
four;0
wins;0
from;0
ten;0
nominations;0
,;0
more;0
than;0
any;0
other;0
artist;0
,;0
for;0
``;0
Where;0
the;0
Wild;0
Roses;0
Grow;0
'';0
(;0
with;0
Nick;3
Cave;4
and;4
the;4
Bad;4
Seeds;4
);0
in;0
1996;0
,;0
``;0
Spinning;0
Around;0
'';0
in;0
2000;0
,;0
Light;0
Years;0
'';0
in;0
2001;0
and;0
Fever;0
'';0
in;0
2002;0
.;0
# New sentence = William FitzAlan , 16th Earl of Arundel 1483–1488;0
William;1
FitzAlan;2
,;0
16th;0
Earl;0
of;0
Arundel;0
1483–1488;0
# New sentence = List of World Heritage Sites in Europe;0
List;0
of;0
World;0
Heritage;0
Sites;0
in;0
Europe;5
# New sentence = Grand Haven Charter Township , Michigan;0
Grand;5
Haven;6
Charter;6
Township;6
,;0
Michigan;5
# New sentence = ' '' With Dave Douglas '' ';0
';0
'';0
With;0
Dave;1
Douglas;2
'';0
';0
# New sentence = *13 December - The first meeting of the North / South Ministerial Council takes place in Armagh .;0
*13;0
December;0
-;0
The;0
first;0
meeting;0
of;0
the;0
North;3
/;4
South;4
Ministerial;4
Council;4
takes;0
place;0
in;0
Armagh;5
.;0
# New sentence = International Military Sports Council;0
International;3
Military;4
Sports;4
Council;4
"# New sentence = Glass Castle '' ( 유리의 성 ; 2008–2009 )";0
Glass;0
Castle;0
'';0
(;0
유리의;0
성;0
";";0
2008–2009;0
);0
# New sentence = Sally Greengross , Baroness Greengross;0
Sally;1
Greengross;2
,;0
Baroness;0
Greengross;0
# New sentence = Empress Dowager Longyu;0
Empress;0
Dowager;1
Longyu;2
# New sentence = Logroño , Ecuador;0
Logroño;5
,;0
Ecuador;5
# New sentence = United States Minor Outlying Islands;0
United;5
States;6
Minor;6
Outlying;6
Islands;6
# New sentence = It is found in New Guinea .;0
It;0
is;0
found;0
in;0
New;5
Guinea;6
.;0
# New sentence = Justin Long , Noomi Rapace;0
Justin;1
Long;2
,;0
Noomi;1
Rapace;2
# New sentence = '' Chicago '' ( 2011 );0
'';0
Chicago;0
'';0
(;0
2011;0
);0
# New sentence = Congress of the Republic of Peru;0
Congress;3
of;4
the;4
Republic;4
of;4
Peru;4
# New sentence = MONU - magazine on urbanism;0
MONU;0
-;0
magazine;0
on;0
urbanism;0
# New sentence = ** Thessalonika : Thessaloniki-Dialogis ( 16 );0
**;0
Thessalonika;0
:;0
Thessaloniki-Dialogis;0
(;0
16;0
);0
# New sentence = Coopersville , Clinton County , New York;0
Coopersville;5
,;0
Clinton;5
County;6
,;0
New;5
York;6
# New sentence = Miranda de Ebro;0
Miranda;5
de;6
Ebro;6
# New sentence = '' ' '' Cuddle Up a Little Closer '' ' '';0
'';0
';0
'';0
Cuddle;0
Up;0
a;0
Little;0
Closer;0
'';0
';0
'';0
# New sentence = Max van Heeswijk;0
Max;1
van;2
Heeswijk;2
# New sentence = Raymond Felton ( 9 );0
Raymond;1
Felton;2
(;0
9;0
);0
# New sentence = '' Catocala nymphagoga '' ( Esper , 1787 );0
'';0
Catocala;0
nymphagoga;0
'';0
(;0
Esper;1
,;0
1787;0
);0
# New sentence = West Virginia Route 67;0
West;5
Virginia;6
Route;6
67;6
# New sentence = David Loebsack ( D );0
David;1
Loebsack;2
(;0
D;0
);0
# New sentence = Recent clients include Actavis , Alcoa , Fluor Corporation , Gannett , GlaxoSmithKline , London Stock Exchange Group , Safeway , Tesco , Teva , and the US Department of Treasury .;0
Recent;0
clients;0
include;0
Actavis;3
,;0
Alcoa;3
,;0
Fluor;3
Corporation;4
,;0
Gannett;3
,;0
GlaxoSmithKline;3
,;0
London;3
Stock;4
Exchange;4
Group;4
,;0
Safeway;3
,;0
Tesco;3
,;0
Teva;3
,;0
and;0
the;0
US;3
Department;4
of;4
Treasury;4
.;0
# New sentence = Olney Daily Mail '' – Olney;0
Olney;3
Daily;4
Mail;4
'';0
–;0
Olney;0
# New sentence = In 1982 , they were briefly used on through services to Melbourne .;0
In;0
1982;0
,;0
they;0
were;0
briefly;0
used;0
on;0
through;0
services;0
to;0
Melbourne;5
.;0
# New sentence = ' '' Illawarra Cutters '' ';0
';0
'';0
Illawarra;3
Cutters;4
'';0
';0
# New sentence = He was the father of Steuart Bayley .;0
He;0
was;0
the;0
father;0
of;0
Steuart;1
Bayley;2
.;0
# New sentence = Binary ( disambiguation );0
Binary;0
(;0
disambiguation;0
);0
# New sentence = Sandra Haynie ( 1 / 4 );0
Sandra;1
Haynie;2
(;0
1;0
/;0
4;0
);0
# New sentence = Bloomingburg Reformed Protestant Dutch Church;0
Bloomingburg;3
Reformed;4
Protestant;4
Dutch;4
Church;4
# New sentence = His piece had been performed in Birmingham under conductor Hans Richter in 1906 .;0
His;0
piece;0
had;0
been;0
performed;0
in;0
Birmingham;5
under;0
conductor;0
Hans;1
Richter;2
in;0
1906;0
.;0
# New sentence = It is found in China , Mongolia , Japan and Russia .;0
It;0
is;0
found;0
in;0
China;5
,;0
Mongolia;5
,;0
Japan;5
and;0
Russia;5
.;0
# New sentence = 2012 Sharon Lee and Steve Miller;0
2012;0
Sharon;1
Lee;2
and;0
Steve;1
Miller;2
# New sentence = Jane Bown - Lifetime Achievement;0
Jane;1
Bown;2
-;0
Lifetime;0
Achievement;0
# New sentence = Linas and Simona;0
Linas;3
and;4
Simona;4
# New sentence = On June 30 he was traded back to the Philadelphia Phillies for future considerations .;0
On;0
June;0
30;0
he;0
was;0
traded;0
back;0
to;0
the;0
Philadelphia;3
Phillies;4
for;0
future;0
considerations;0
.;0
# New sentence = Swindon Council election , 2006;0
Swindon;0
Council;0
election;0
,;0
2006;0
# New sentence = ' '' Emilio Alzamora '' ';0
';0
'';0
Emilio;1
Alzamora;2
'';0
';0
# New sentence = Regionalist Party of the Leonese Country ( PREPAL );0
Regionalist;3
Party;4
of;0
the;4
Leonese;4
Country;4
(;0
PREPAL;0
);0
# New sentence = People 's Liberation Organisation of Tamil Eelam;0
People;3
's;4
Liberation;4
Organisation;4
of;4
Tamil;4
Eelam;4
# New sentence = Kamianets-Podilskyi in Ukraine '' ( since 1993 ) '';0
Kamianets-Podilskyi;5
in;0
Ukraine;5
'';0
(;0
since;0
1993;0
);0
'';0
# New sentence = 1995 Spellbinder '' .;0
1995;0
Spellbinder;0
'';0
.;0
# New sentence = It was originally published on October 17th , 2006 , by William Morrow and Company .;0
It;0
was;0
originally;0
published;0
on;0
October;0
17th;0
,;0
2006;0
,;0
by;0
William;3
Morrow;4
and;4
Company;4
.;0
# New sentence = Jack Dodson as Howard Sprague;0
Jack;1
Dodson;2
as;0
Howard;1
Sprague;2
# New sentence = Rocko - ''Wordplay '' ===;0
Rocko;1
-;0
''Wordplay;0
'';0
===;0
# New sentence = Johan Kristoffersson ( Audi RS5 );0
Johan;1
Kristoffersson;2
(;0
Audi;0
RS5;0
);0
# New sentence = Wolves in the Throne Room;0
Wolves;3
in;4
the;4
Throne;4
Room;4
# New sentence = Campbell Gullan as Sgt .;0
Campbell;1
Gullan;2
as;0
Sgt;0
.;0
# New sentence = '' Kingdom of Portugal and the Algarves '' ' – John VI ( 1816–1826 );0
'';0
Kingdom;3
of;4
Portugal;4
and;4
the;4
Algarves;4
'';0
';0
–;0
John;1
VI;2
(;0
1816–1826;0
);0
# New sentence = 2014–15 Arizona Wildcats men 's basketball team;0
2014–15;0
Arizona;3
Wildcats;4
men;0
's;0
basketball;0
team;0
# New sentence = Pope Timothy I of Alexandria;0
Pope;0
Timothy;1
I;2
of;0
Alexandria;5
# New sentence = W. S. Merwin;0
W.;1
S.;2
Merwin;2
# New sentence = Howrah , West Bengal , India;0
Howrah;5
,;0
West;5
Bengal;6
,;0
India;5
# New sentence = Hosted by Kate Thornton and later Steve Jones .;0
Hosted;0
by;0
Kate;1
Thornton;2
and;0
later;0
Steve;1
Jones;2
.;0
# New sentence = The University of Western Australia;0
The;3
University;4
of;4
Western;4
Australia;4
# New sentence = CD09 : Logone Oriental Region , Chad;0
CD09;0
:;0
Logone;5
Oriental;6
Region;6
,;0
Chad;5
# New sentence = George Francis Henrechon;0
George;1
Francis;2
Henrechon;2
# New sentence = ** 1919 – Ty Cobb , .384;0
**;0
1919;0
–;0
Ty;1
Cobb;2
,;0
.384;0
# New sentence = '' Mitra punctostriata '';0
'';0
Mitra;0
punctostriata;0
'';0
# New sentence = Upland buzzard , ''Buteo hemilasius '';0
Upland;0
buzzard;0
,;0
''Buteo;0
hemilasius;0
'';0
# New sentence = It became a ''Colonia '' ( Roman colony ) by 270 AD .;0
It;0
became;0
a;0
''Colonia;0
'';0
(;0
Roman;0
colony;0
);0
by;0
270;0
AD;0
.;0
# New sentence = Jon Foreman ( Switchfoot );0
Jon;1
Foreman;2
(;0
Switchfoot;0
);0
# New sentence = Starring Nick Hancock , Andrew Sachs;0
Starring;0
Nick;1
Hancock;2
,;0
Andrew;1
Sachs;2
# New sentence = Graeme Le Saux;0
Graeme;1
Le;2
Saux;2
# New sentence = 1984 - Schaffhausen , Mini-Galerie;0
1984;0
-;0
Schaffhausen;5
,;0
Mini-Galerie;0
# New sentence = Will Colbert ( D );0
Will;1
Colbert;2
(;0
D;0
);0
# New sentence = rendered]] , and has a roof of Kerridge stone-slate .;0
rendered]];0
,;0
and;0
has;0
a;0
roof;0
of;0
Kerridge;0
stone-slate;0
.;0
# New sentence = Free State Project;0
Free;3
State;4
Project;4
# New sentence = Loyola Greyhounds men 's soccer;0
Loyola;3
Greyhounds;4
men;4
's;4
soccer;4
# New sentence = Fort Collins , Colorado , United States;0
Fort;5
Collins;6
,;0
Colorado;5
,;0
United;5
States;6
# New sentence = ''Experimenta circa effectum conflictus electrici in acum magneticam '' Copenhagen , ' '' 1820 '' ' .;0
''Experimenta;0
circa;0
effectum;0
conflictus;0
electrici;0
in;0
acum;0
magneticam;0
'';0
Copenhagen;5
,;0
';0
'';0
1820;0
'';0
';0
.;0
# New sentence = ** '' Kingdom of Northumbria '' ' – Osberht ( 849–862 / 863 );0
**;0
'';0
Kingdom;5
of;6
Northumbria;6
'';0
';0
–;0
Osberht;1
(;0
849–862;0
/;0
863;0
);0
# New sentence = Herbert Russell ( 1892–1896 );0
Herbert;1
Russell;2
(;0
1892–1896;0
);0
# New sentence = Honda Center , Anaheim , United States;0
Honda;5
Center;6
,;0
Anaheim;5
,;0
United;5
States;6
# New sentence = Chris Higgins ( ice hockey , born 1986 );0
Chris;1
Higgins;2
(;0
ice;0
hockey;0
,;0
born;0
1986;0
);0
# New sentence = ' '' John Fidler '' '*;0
';0
'';0
John;1
Fidler;2
'';0
'*;0
# New sentence = Florida State Road 758;0
Florida;5
State;6
Road;6
758;6
# New sentence = Claudette Colbert , Robert Ryan;0
Claudette;1
Colbert;2
,;0
Robert;1
Ryan;2
# New sentence = Ramsey Public School District;0
Ramsey;3
Public;4
School;4
District;4
# New sentence = 180 km to Vilnius;0
180;0
km;0
to;0
Vilnius;5
# New sentence = ( 15px - ) Lausanne - Yverdon-les-Bains - Neuchâtel - Biel / Bienne - Solothurn - Olten - Aarau - Brugg - Koblenz ( - 15px );0
(;0
15px;0
-;0
);0
Lausanne;5
-;0
Yverdon-les-Bains;5
-;0
Neuchâtel;5
-;0
Biel;5
/;6
Bienne;6
-;0
Solothurn;5
-;0
Olten;5
-;0
Aarau;5
-;0
Brugg;5
-;0
Koblenz;5
(;0
-;0
15px;0
);0
# New sentence = | Transferred to the Mexican Navy in September 1972 .;0
|;0
Transferred;0
to;0
the;0
Mexican;3
Navy;4
in;0
September;0
1972;0
