tokens;m_labels;o_labels
June;0;0
25;0;0
,;0;0
2013;0;0
under;0;0
Epitaph;3;3
Records;4;4
.;0;0
# New sentence = Augustus H. Tulk;0;
Augustus;1;1
H.;2;2
Tulk;2;2
# New sentence = Karl Ludvigsen , editor of Car and Driver '' , Motor Trend '' ( born in Kalamazoo );0;
Karl;1;1
Ludvigsen;2;2
,;0;0
editor;0;0
of;0;0
Car;3;3
and;4;4
Driver;4;4
'';0;0
,;0;0
Motor;3;3
Trend;4;4
'';0;0
(;0;0
born;0;0
in;0;0
Kalamazoo;5;5
);0;0
# New sentence = Oomph ! - Wunschkind '';0;
Oomph;0;0
!;0;0
-;0;0
Wunschkind;0;0
'';0;0
# New sentence = In 1975 under pressure from the Holy See , he resigned from active religious duty .;0;
In;0;0
1975;0;0
under;0;0
pressure;0;0
from;0;0
the;0;0
Holy;3;3
See;4;4
,;0;0
he;0;0
resigned;0;0
from;0;0
active;0;0
religious;0;0
duty;0;0
.;0;0
# New sentence = ' '' Sergio Roitman '' '7–6 ( 5 ) , 6–4;0;
';0;0
'';0;0
Sergio;1;1
Roitman;2;2
'';0;0
'7–6;0;0
(;0;0
5;0;0
);0;0
,;0;0
6–4;0;0
# New sentence = Sacred Grove ( Latter Day Saint movement );0;
Sacred;3;5
Grove;4;6
(;0;0
Latter;0;3
Day;0;4
Saint;0;4
movement;0;4
);0;0
# New sentence = A recording of part of one episode is known to exist at the Paley Center for Media .;0;
A;0;0
recording;0;0
of;0;0
part;0;0
of;0;0
one;0;0
episode;0;0
is;0;0
known;0;0
to;0;0
exist;0;0
at;0;0
the;0;0
Paley;3;5
Center;4;6
for;4;6
Media;4;6
.;0;0
# New sentence = Arthur Lawson Johnston , 3rd Baron Luke;0;
Arthur;1;1
Lawson;2;2
Johnston;2;2
,;0;0
3rd;0;0
Baron;0;0
Luke;0;0
# New sentence = Mrągowo - Kałęczyn - Szczytno;0;
Mrągowo;0;5
-;0;0
Kałęczyn;0;5
-;0;0
Szczytno;3;5
# New sentence = Jake Goldsbie as Toby Isaacs ( 12 episodes );0;
Jake;1;1
Goldsbie;2;2
as;0;0
Toby;1;1
Isaacs;2;2
(;0;0
12;0;0
episodes;0;0
);0;0
# New sentence = ' '' Bosson '' ';0;
';0;0
'';0;0
Bosson;1;1
'';0;0
';0;0
# New sentence = Darker than Black;0;
Darker;0;0
than;0;0
Black;0;0
# New sentence = Neal Tiemann , lead guitarist in David Cook 's band;0;
Neal;1;1
Tiemann;2;2
,;0;0
lead;0;0
guitarist;0;0
in;0;0
David;1;1
Cook;2;2
's;0;0
band;0;0
# New sentence = He was the son of William Edward Tomline and grandson of George Pretyman Tomline .;0;
He;0;0
was;0;0
the;0;0
son;0;0
of;0;0
William;1;1
Edward;2;2
Tomline;2;2
and;0;0
grandson;0;0
of;0;0
George;1;1
Pretyman;2;2
Tomline;2;2
.;0;0
# New sentence = Over ( Drake song );0;
Over;0;0
(;0;0
Drake;1;1
song;0;0
);0;0
# New sentence = Rachael Ray ( TV series );0;
Rachael;0;1
Ray;0;2
(;0;0
TV;0;0
series;0;0
);0;0
# New sentence = 239 Rayne , Louisiana $ 12,588;0;
239;0;5
Rayne;5;6
,;0;6
Louisiana;5;6
$;0;0
12,588;0;0
# New sentence = It is found in Surinam , Panama , French Guiana , Venezuela , Brazil and Colombia .;0;
It;0;0
is;0;0
found;0;0
in;0;0
Surinam;5;5
,;0;0
Panama;5;5
,;0;0
French;5;5
Guiana;6;6
,;0;0
Venezuela;5;5
,;0;0
Brazil;5;5
and;0;0
Colombia;5;5
.;0;0
# New sentence = His younger brother was Edmund de la Pole .;0;
His;0;0
younger;0;0
brother;0;0
was;0;0
Edmund;1;1
de;2;2
la;2;2
Pole;2;2
.;0;0
# New sentence = It is found only in Angola .;0;
It;0;0
is;0;0
found;0;0
only;0;0
in;0;0
Angola;5;5
.;0;0
# New sentence = ''Drama '' ( Bitter : Sweet album ) , 2008;0;
''Drama;0;0
'';0;0
(;0;0
Bitter;0;0
:;0;0
Sweet;0;0
album;0;0
);0;0
,;0;0
2008;0;0
# New sentence = '' The Wander-ground '' , Sally Miller Gearhart ( 1978 );0;
'';0;0
The;0;0
Wander-ground;0;0
'';0;0
,;0;0
Sally;1;1
Miller;2;2
Gearhart;2;2
(;0;0
1978;0;0
);0;0
# New sentence = The École des mines d'Alès;0;
The;0;0
École;0;5
des;0;6
mines;0;6
d'Alès;0;6
# New sentence = Extravadanses in Castres in July .;0;
Extravadanses;0;0
in;0;0
Castres;5;5
in;0;0
July;0;0
.;0;0
# New sentence = California Society of Municipal Finance Officers ( CSMFO );0;
California;3;3
Society;4;4
of;4;4
Municipal;4;4
Finance;4;4
Officers;4;4
(;0;4
CSMFO;4;4
);0;4
# New sentence = Arizona United SC;0;
Arizona;3;3
United;4;4
SC;4;4
# New sentence = R. N. Sudarshan in Guest Appearance;0;
R.;1;1
N.;2;2
Sudarshan;2;2
in;0;0
Guest;0;0
Appearance;0;0
# New sentence = ' '' USM Alger '' ';0;
';0;0
'';0;0
USM;3;3
Alger;4;4
'';0;0
';0;0
# New sentence = ** '' Acrobasis craterantis '' ( Meyrick , 1933 );0;
**;0;0
'';0;0
Acrobasis;0;0
craterantis;0;0
'';0;0
(;0;0
Meyrick;1;1
,;0;0
1933;0;0
);0;0
# New sentence = He was one of the founders and leaders of the United Gold Coast Convention ( UGCC ) known as `` The Big Six '' .;0;
He;0;0
was;0;0
one;0;0
of;0;0
the;0;0
founders;0;0
and;0;0
leaders;0;0
of;0;0
the;3;0
United;4;3
Gold;4;4
Coast;4;4
Convention;4;4
(;0;4
UGCC;4;4
);0;4
known;0;0
as;0;0
``;0;0
The;0;0
Big;0;0
Six;0;0
'';0;0
.;0;0
# New sentence = It is found in Costa Rica .;0;
It;0;0
is;0;0
found;0;0
in;0;0
Costa;5;5
Rica;6;6
.;0;0
# New sentence = Seda ( ) , built in the early 20th century , collapsed in 2005;0;
Seda;5;5
(;0;0
);0;0
,;0;0
built;0;0
in;0;0
the;0;0
early;0;0
20th;0;0
century;0;0
,;0;0
collapsed;0;0
in;0;0
2005;0;0
# New sentence = Holy Wars ... The Punishment Due;0;
Holy;0;0
Wars;0;0
...;0;0
The;0;0
Punishment;0;0
Due;0;0
# New sentence = Quentin N. Burdick ( D );0;
Quentin;1;1
N.;2;2
Burdick;2;2
(;0;0
D;0;0
);0;0
# New sentence = '' A Rose Is Still a Rose '';0;
'';0;0
A;0;0
Rose;0;0
Is;0;0
Still;0;0
a;0;0
Rose;0;0
'';0;0
# New sentence = Gallatin National Forest ( part );0;
Gallatin;5;5
National;6;6
Forest;6;6
(;0;0
part;0;0
);0;0
# New sentence = It is currently published by Fairfax Media .;0;
It;0;0
is;0;0
currently;0;0
published;0;0
by;0;0
Fairfax;3;3
Media;4;4
.;0;0
# New sentence = ** '' Guardians of the Galaxy : Awesome Mix : Vol. 1 '';0;
**;0;0
'';0;0
Guardians;0;0
of;0;0
the;0;0
Galaxy;0;0
:;0;0
Awesome;0;0
Mix;0;0
:;0;0
Vol.;0;0
1;0;0
'';0;0
# New sentence = He was born and died in Sydney .;0;
He;0;0
was;0;0
born;0;0
and;0;0
died;0;0
in;0;0
Sydney;5;5
.;0;0
# New sentence = Statue of Sebestyén Tinódi Lantos by Gyula Bezerédi;0;
Statue;0;0
of;0;0
Sebestyén;1;1
Tinódi;2;2
Lantos;2;2
by;0;0
Gyula;1;1
Bezerédi;2;2
# New sentence = Jesse D. Bright ( D );0;
Jesse;1;1
D.;2;2
Bright;2;2
(;0;0
D;0;0
);0;0
# New sentence = Sean McGinly Cast , John Malkovich , Colin Hanks , Emily Blunt , Ricky Jay;0;
Sean;1;1
McGinly;2;2
Cast;2;2
,;0;0
John;1;1
Malkovich;2;2
,;0;0
Colin;1;1
Hanks;2;2
,;0;0
Emily;1;1
Blunt;2;2
,;0;0
Ricky;1;1
Jay;2;2
# New sentence = It is found in Bolivia .;0;
It;0;0
is;0;0
found;0;0
in;0;0
Bolivia;5;5
.;0;0
# New sentence = Yaw , pitch , and roll;0;
Yaw;0;0
,;0;0
pitch;0;0
,;0;0
and;0;0
roll;0;0
# New sentence = For Ministry of War Transport;0;
For;0;0
Ministry;3;3
of;4;4
War;4;4
Transport;4;4
# New sentence = 635th ( King 's Regiment ) Infantry Regiment Royal Artillery formed by 38th ( The King 's Regiment ) Searchlight Regiment RA ( TA ) .;0;
635th;3;3
(;4;4
King;4;4
's;4;4
Regiment;4;4
);4;4
Infantry;4;4
Regiment;4;4
Royal;4;4
Artillery;4;4
formed;0;0
by;0;0
38th;3;3
(;4;4
The;4;4
King;4;4
's;4;4
Regiment;4;4
);4;4
Searchlight;4;4
Regiment;4;4
RA;4;4
(;0;4
TA;4;4
);0;4
.;0;0
# New sentence = Straight River Township , Hubbard County , Minnesota;0;
Straight;5;5
River;6;6
Township;6;6
,;0;6
Hubbard;5;6
County;6;6
,;0;6
Minnesota;5;6
# New sentence = All entries use Continental tyres .;0;
All;0;0
entries;0;0
use;0;0
Continental;0;0
tyres;0;0
.;0;0
# New sentence = Delhi–Agra–Lucknow–Varanasi–Patna–Kolkata high-speed passenger corridor;0;
Delhi–Agra–Lucknow–Varanasi–Patna–Kolkata;5;5
high-speed;0;6
passenger;0;6
corridor;0;6
# New sentence = 1908 - South Dakota Central Railway built .;0;
1908;0;0
-;0;0
South;3;5
Dakota;4;6
Central;4;6
Railway;4;6
built;0;0
.;0;0
# New sentence = Grosse Pointe Shores , Michigan;0;
Grosse;5;5
Pointe;6;6
Shores;6;6
,;0;6
Michigan;5;6
# New sentence = : Tour de France :;0;
:;0;0
Tour;0;0
de;0;0
France;5;0
:;0;0
# New sentence = Air chief marshal;0;
Air;0;0
chief;0;0
marshal;0;0
# New sentence = Following in Trabzonspor 's footsteps , we have brought success back to Anatolia , he added .;0;
Following;0;0
in;0;0
Trabzonspor;3;1
's;0;0
footsteps;0;0
,;0;0
we;0;0
have;0;0
brought;0;0
success;0;0
back;0;0
to;0;0
Anatolia;5;5
,;0;0
he;0;0
added;0;0
.;0;0
# New sentence = London Wasps ' '' ( 4 ) ' '';0;
London;3;0
Wasps;4;0
';0;0
'';0;0
(;0;0
4;0;0
);0;0
';0;0
'';0;0
# New sentence = : Aletta van Manen;0;
:;0;0
Aletta;1;1
van;2;2
Manen;2;2
# New sentence = Dračevo , Skopje;0;
Dračevo;5;5
,;0;6
Skopje;5;6
# New sentence = Manor School and Sports College , Raunds;0;
Manor;3;5
School;4;6
and;0;6
Sports;3;6
College;4;6
,;0;6
Raunds;5;6
# New sentence = The annual competition is hosted by AtomFilms .;0;
The;0;0
annual;0;0
competition;0;0
is;0;0
hosted;0;0
by;0;0
AtomFilms;5;3
.;0;0
# New sentence = Desert Breeze Lake;0;
Desert;5;5
Breeze;6;6
Lake;6;6
# New sentence = Baptist Joint Committee for Religious Liberty –;0;
Baptist;3;3
Joint;4;4
Committee;4;4
for;4;4
Religious;4;4
Liberty;4;4
–;0;0
# New sentence = • Predvorica ( 469 );0;
•;0;0
Predvorica;5;5
(;0;0
469;0;0
);0;0
# New sentence = Loftus Versfeld Stadium , Pretoria;0;
Loftus;5;5
Versfeld;6;6
Stadium;6;6
,;0;6
Pretoria;5;6
# New sentence = John Aymer Dalrymple , 13th Earl of Stair 8 January 1962 – 1981;0;
John;1;1
Aymer;2;2
Dalrymple;2;2
,;0;0
13th;0;0
Earl;0;0
of;0;0
Stair;0;0
8;0;0
January;0;0
1962;0;0
–;0;0
1981;0;0
# New sentence = Parkview High School — Lilburn , Georgia;0;
Parkview;3;5
High;4;6
School;4;6
—;0;6
Lilburn;5;6
,;0;6
Georgia;5;6
# New sentence = ' '' Holy Names University;0;
';0;0
'';0;0
Holy;3;5
Names;4;6
University;4;6
# New sentence = Swiss Tower , a building in Jumeirah Lake Towers in Dubai , United Arab Emirates;0;
Swiss;3;5
Tower;4;6
,;0;0
a;0;0
building;0;0
in;0;0
Jumeirah;5;5
Lake;6;6
Towers;6;6
in;0;0
Dubai;5;5
,;0;6
United;5;6
Arab;6;6
Emirates;6;6
# New sentence = Texas Sports Hall of Fame , deceased;0;
Texas;3;5
Sports;4;6
Hall;4;6
of;4;6
Fame;4;6
,;0;0
deceased;0;0
# New sentence = David Hudson , lawyer and writer;0;
David;1;1
Hudson;2;2
,;0;0
lawyer;0;0
and;0;0
writer;0;0
# New sentence = *2003 : Andrea Barberi ( 3 );0;
*2003;0;0
:;0;0
Andrea;1;1
Barberi;2;2
(;0;0
3;0;0
);0;0
# New sentence = *date unknown - Quilpué is founded .;0;
*date;0;0
unknown;0;0
-;0;0
Quilpué;0;5
is;0;0
founded;0;0
.;0;0
# New sentence = Archbishop of Akhalkalakhi;0;
Archbishop;0;0
of;0;0
Akhalkalakhi;0;5
# New sentence = List of New Hampshire rivers;0;
List;0;0
of;0;0
New;5;5
Hampshire;6;6
rivers;0;0
# New sentence = ' '' Tom Herron '' ';0;
';0;0
'';0;0
Tom;1;1
Herron;2;2
'';0;0
';0;0
# New sentence = 35 Siesta Key , Florida $ 53,290;0;
35;0;5
Siesta;5;6
Key;6;6
,;0;6
Florida;5;6
$;0;0
53,29;0;0
# New sentence = 1991–92 Slovenian Hockey League season;0;
1991–92;0;0
Slovenian;3;3
Hockey;4;4
League;4;4
season;0;0
# New sentence = Southwestern Christian College , Terrell;0;
Southwestern;3;5
Christian;4;6
College;4;6
,;0;6
Terrell;5;6
# New sentence = '' Lordship of Ireland '' ' – Henry III of England ( 1216–1272 );0;
'';0;0
Lordship;0;0
of;0;0
Ireland;0;5
'';0;0
';0;0
–;0;0
Henry;1;1
III;2;2
of;2;2
England;2;2
(;0;0
1216–1272;0;0
);0;0
# New sentence = Queensland state election , 1998;0;
Queensland;5;3
state;0;4
election;0;0
,;0;0
1998;0;0
# New sentence = It is found in Guatemala and Mexico .;0;
It;0;0
is;0;0
found;0;0
in;0;0
Guatemala;5;5
and;0;0
Mexico;5;5
.;0;0
# New sentence = Rich Beem ( 2 );0;
Rich;1;1
Beem;2;2
(;0;0
2;0;0
);0;0
# New sentence = Southern Broadcasting Network ( ETC );0;
Southern;3;3
Broadcasting;4;4
Network;4;4
(;0;0
ETC;4;0
);0;0
# New sentence = Vânători , Mehedinți;0;
Vânători;5;5
,;0;6
Mehedinți;5;6
# New sentence = Oporów , Łódź Voivodeship;0;
Oporów;5;5
,;0;6
Łódź;5;6
Voivodeship;6;6
# New sentence = It is found in North America .;0;
It;0;0
is;0;0
found;0;0
in;0;0
North;5;5
America;6;6
.;0;0
# New sentence = ' '' Macaulay Culkin '' ';0;
';0;0
'';0;0
Macaulay;1;1
Culkin;2;2
'';0;0
';0;0
# New sentence = one half of the Tornado Twins;0;
one;0;0
half;0;0
of;0;0
the;0;0
Tornado;0;1
Twins;0;2
# New sentence = ' '' Siluriformes '' ';0;
';0;0
'';0;0
Siluriformes;0;0
'';0;0
';0;0
# New sentence = St James Cemetery;0;
St;5;5
James;6;6
Cemetery;6;6
# New sentence = Frankfort , Free State;0;
Frankfort;5;5
,;0;6
Free;5;6
State;6;6
# New sentence = Druzetz : Družec B,33;0;
Druzetz;3;0
:;0;0
Družec;3;5
B,33;0;0
# New sentence = 1912 Wright Model D;0;
1912;0;0
Wright;3;1
Model;4;0
D;4;0
# New sentence = John Read ( British Army officer ) ( 1917-1987 );0;
John;1;1
Read;2;2
(;0;0
British;0;3
Army;0;4
officer;0;0
);0;0
(;0;0
1917-1987;0;0
);0;0
# New sentence = Pui Fan Lee ( 2002–2009 );0;
Pui;1;1
Fan;2;2
Lee;2;2
(;0;0
2002–2009;0;0
);0;0
# New sentence = It was later placed on display in the Baltimore and Ohio Railroad Museum , where it currently remains .;0;
It;0;0
was;0;0
later;0;0
placed;0;0
on;0;0
display;0;0
in;0;0
the;0;0
Baltimore;3;5
and;4;6
Ohio;4;6
Railroad;4;6
Museum;4;6
,;0;0
where;0;0
it;0;0
currently;0;0
remains;0;0
.;0;0
# New sentence = `` Kiss from a Rose '';0;
``;0;0
Kiss;0;0
from;0;0
a;0;0
Rose;0;0
'';0;0
# New sentence = ' '' SK Rapid Wien '' ';0;
';0;0
'';0;0
SK;3;3
Rapid;4;4
Wien;4;4
'';0;0
';0;0
# New sentence = Elissa ( Lebanese singer );0;
Elissa;1;1
(;0;0
Lebanese;0;0
singer;0;0
);0;0
# New sentence = ***** Salleron ( in Ingrandes );0;
*****;0;0
Salleron;5;5
(;0;6
in;0;6
Ingrandes;5;6
);0;6
# New sentence = Richmond , Kentucky;0;
Richmond;5;5
,;0;6
Kentucky;5;6
# New sentence = 1941-06-26 near Minsk , Belarus;0;
6/26/1941;0;0
near;0;0
Minsk;5;5
,;0;6
Belarus;5;6
# New sentence = Bartholomew County ( north-northeast );0;
Bartholomew;5;5
County;6;6
(;0;0
north-northeast;0;0
);0;0
# New sentence = Mike Brearley ( 1961 );0;
Mike;1;1
Brearley;2;2
(;0;0
1961;0;0
);0;0
# New sentence = '' Bam 's Unholy Union '' ( 2007 );0;
'';0;0
Bam;3;1
's;4;0
Unholy;4;0
Union;4;0
'';0;0
(;0;0
2007;0;0
);0;0
# New sentence = *The General Post Office building in St Martins-le-Grand in the City of London , designed by Robert Smirke , is completed ( replaced c.1912 ) .;0;
*The;5;0
General;6;3
Post;6;4
Office;6;4
building;6;0
in;0;0
St;5;5
Martins-le-Grand;6;6
in;0;0
the;5;0
City;6;0
of;6;0
London;6;5
,;0;0
designed;0;0
by;0;0
Robert;1;1
Smirke;2;2
,;0;0
is;0;0
completed;0;0
(;0;0
replaced;0;0
c.1912;0;0
);0;0
.;0;0
# New sentence = Lakeshore , Ontario;0;
Lakeshore;5;5
,;0;6
Ontario;5;6
# New sentence = Originally , it was situated in Clapham , London .;0;
Originally;0;0
,;0;0
it;0;0
was;0;0
situated;0;0
in;0;0
Clapham;5;5
,;0;6
London;5;6
.;0;0
# New sentence = *Series 7 contestant Ricky Groves and Aliona Vilani;0;
*Series;0;0
7;0;0
contestant;0;0
Ricky;1;1
Groves;2;2
and;0;0
Aliona;1;1
Vilani;2;2
# New sentence = Roman Catholic Archdiocese of Antequera , Oaxaca;0;
Roman;3;0
Catholic;4;0
Archdiocese;4;0
of;4;0
Antequera;4;5
,;0;6
Oaxaca;5;6
# New sentence = '' San Francisco del Chañar '' ';0;
'';0;0
San;5;5
Francisco;6;6
del;6;6
Chañar;6;6
'';0;0
';0;0
# New sentence = Volume 4 : Hard Walls and Little Trips;0;
Volume;0;0
4;0;0
:;0;0
Hard;0;0
Walls;0;0
and;0;0
Little;0;0
Trips;0;0
# New sentence = He is the son of Aleksandr Novikov .;0;
He;0;0
is;0;0
the;0;0
son;0;0
of;0;0
Aleksandr;1;1
Novikov;2;2
.;0;0
# New sentence = Athens , Alabama;0;
Athens;5;5
,;0;6
Alabama;5;6
# New sentence = Caroline Elam : March 1987 – July 2002;0;
Caroline;1;1
Elam;2;2
:;0;0
March;0;0
1987;0;0
–;0;0
July;0;0
2002;0;0
# New sentence = Henry Danvers , 1st Earl of Danby;0;
Henry;1;1
Danvers;2;2
,;0;0
1st;0;0
Earl;0;0
of;0;0
Danby;0;0
# New sentence = Phú Vang District;0;
Phú;5;5
Vang;6;6
District;6;6
# New sentence = They are played by Karen delos Reyes .;0;
They;0;0
are;0;0
played;0;0
by;0;0
Karen;1;1
delos;2;2
Reyes;2;2
.;0;0
# New sentence = '' Kingdom of Hungary '' ' – Andrew II ( 1205–1235 );0;
'';0;0
Kingdom;0;0
of;0;0
Hungary;0;5
'';0;0
';0;0
–;0;0
Andrew;1;1
II;2;2
(;0;0
1205–1235;0;0
);0;0
# New sentence = Aduri , Rabor ( ادوري - ''Adūrī '' );0;
Aduri;5;5
,;0;6
Rabor;5;6
(;0;0
ادوري;0;5
-;0;0
''Adūrī;0;5
'';0;0
);0;0
# New sentence = He made his debut in the Soviet Top League in 1991 for FC Spartak Vladikavkaz .;0;
He;0;0
made;0;0
his;0;0
debut;0;0
in;0;0
the;0;0
Soviet;3;0
Top;4;0
League;4;0
in;0;0
1991;0;0
for;0;0
FC;3;3
Spartak;4;4
Vladikavkaz;4;4
.;0;0
# New sentence = Stacy Keibler / Skye / Miss Hancock;0;
Stacy;1;1
Keibler;2;2
/;0;0
Skye;1;1
/;0;0
Miss;1;1
Hancock;2;2
# New sentence = He started his writing career as a newspaperman and later married Eloise Jarvis McGraw , also an author .;0;
He;0;0
started;0;0
his;0;0
writing;0;0
career;0;0
as;0;0
a;0;0
newspaperman;0;0
and;0;0
later;0;0
married;0;0
Eloise;1;1
Jarvis;2;2
McGraw;2;2
,;0;0
also;0;0
an;0;0
author;0;0
.;0;0
# New sentence = Żabinka , Warmian-Masurian Voivodeship;0;
Żabinka;5;5
,;0;6
Warmian-Masurian;5;6
Voivodeship;6;6
# New sentence = It is part of the Harrison Micropolitan Statistical Area .;0;
It;0;0
is;0;0
part;0;0
of;0;0
the;0;0
Harrison;5;5
Micropolitan;6;6
Statistical;6;0
Area;6;0
.;0;0
# New sentence = ' '' David Beddall '' ';0;
';0;0
'';0;0
David;1;1
Beddall;2;2
'';0;0
';0;0
# New sentence = Morton Downey , Jr . ( deceased );0;
Morton;1;1
Downey;2;2
,;0;2
Jr;0;2
.;0;0
(;0;0
deceased;0;0
);0;0
# New sentence = Peak Charles National Park;0;
Peak;5;5
Charles;6;6
National;6;6
Park;6;6
# New sentence = Roth , Bavaria;0;
Roth;5;5
,;0;6
Bavaria;5;6
# New sentence = Ishpeming Township , Marquette County;0;
Ishpeming;5;5
Township;6;6
,;0;6
Marquette;5;6
County;6;6
